"rowname","site","state","year","date","delph.plant.num","delph.flower.num","viable","bombus.abund","bombus.rich","bomabund.scale","num.delph","prop.delph","prop.long","num.long","mean.fidelity","color.sim","corolla.sim","species.removed","num.removed","prop.removed"
"60","Deer Creek Gate 2","control","2011",2011-07-25,"12","12.12",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"61","Deer Creek Gate 2","control","2011",2011-07-25,"13","13.13",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"62","Deer Creek Gate 2","control","2011",2011-07-25,"14","14.14",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"63","Deer Creek Gate 2","control","2011",2011-07-25,"15","15.15",13,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"64","Deer Creek Gate 2","control","2011",2011-07-25,"15","15.15",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"65","Deer Creek Gate 2","manipulation","2011",2011-07-28,"16","16.16",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"66","Deer Creek Gate 2","manipulation","2011",2011-07-28,"17","17.17",18,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"67","Deer Creek Gate 2","manipulation","2011",2011-07-28,"17","17.17",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"68","Deer Creek Gate 2","manipulation","2011",2011-07-28,"18","18.18",19,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"69","Deer Creek Gate 2","manipulation","2011",2011-07-28,"18","18.18",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"70","Deer Creek Gate 2","manipulation","2011",2011-07-28,"19","19.19",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"71","Deer Creek Gate 2","manipulation","2011",2011-07-28,"20","20.20",38,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"72","Deer Creek Gate 2","manipulation","2011",2011-07-28,"20","20.20",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"73","Deer Creek Gate 2","manipulation","2011",2011-07-28,"21","21.21",41,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"74","Deer Creek Gate 2","manipulation","2011",2011-07-28,"21","21.21",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"75","Deer Creek Gate 2","manipulation","2011",2011-07-28,"22","22.22",18,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"76","Deer Creek Gate 2","manipulation","2011",2011-07-28,"22","22.22",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"77","Deer Creek Gate 2","manipulation","2011",2011-07-28,"27","27.27",30,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"78","Deer Creek Gate 2","manipulation","2011",2011-07-28,"27","27.27",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"79","Deer Creek Gate 2","manipulation","2011",2011-07-28,"28","28.28",31,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"80","Deer Creek Gate 2","manipulation","2011",2011-07-28,"28","28.28",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"81","Deer Creek Gate 2","manipulation","2011",2011-07-28,"30","30.30",27,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"82","Deer Creek Gate 2","manipulation","2011",2011-07-28,"30","30.30",0,53,6,0.709535466623351,3221,0.139015968925334,0.735849056603774,39,0.85,0,0.851070229084165,"Bombus nevadensis",174,0.766519823788546
"83","Teocali View","control","2011",2011-07-21,"16","16.16",16,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"84","Teocali View","control","2011",2011-07-21,"16","16.16",0,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"85","Teocali View","control","2011",2011-07-21,"17","17.17",0,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
"86","Teocali View","control","2011",2011-07-21,"19","19.19",0,64,6,0.865633269280488,2327,0.191160765628851,0.71875,46,0.869565217391304,0.0235628681698152,0.876701198456226,NA,0,0
